female,age,edu,income,region,july25,mps,people,officials,leg2019_voted,leg2019,pres2019_1_voted,pres2019_1,pres2019_2_voted,pres2019_2
0,35,2,2,Kairouan,2,3,1,5,1,98,1,1,2,NA
0,36,6,3,Beja,1,1,3,1,2,NA,2,NA,1,1
0,34,7,2,Tataouine,1,1,1,1,2,NA,2,NA,2,NA
0,26,3,NA,Medenine,98,1,5,1,2,NA,2,NA,2,NA
0,31,4,3,Nabeul,98,1,1,1,2,NA,1,1,1,1
0,25,7,3,Siliana,1,2,4,2,1,96,1,96,2,NA
0,35,5,4,Medenine,1,1,1,1,2,NA,2,NA,1,1
0,22,3,3,Zaghouan,1,5,5,1,2,NA,2,NA,2,NA
0,30,3,2,Tozeur,1,5,1,1,1,7,1,1,1,1
0,73,1,1,Bizerte,1,98,1,5,1,96,1,1,1,1
0,65,2,2,Jendouba,1,1,1,1,2,NA,2,NA,2,NA
0,65,1,1,Jendouba,2,1,5,5,2,NA,1,3,2,NA
0,34,2,2,Le Kef,1,5,1,5,98,NA,2,NA,2,NA
0,30,4,3,Jendouba,98,5,1,1,2,NA,2,NA,2,NA
0,53,5,8,Ariana,2,1,2,1,1,1,1,3,1,1
0,50,2,NA,Kairouan,1,5,1,1,1,1,1,1,1,1
0,45,4,4,Sousse,99,99,99,99,1,99,1,99,1,99
0,25,4,NA,Kairouan,2,2,1,2,2,NA,2,NA,2,NA
0,38,6,5,Sousse,1,5,2,1,1,5,1,1,1,1
0,35,6,NA,Sfax,1,1,98,1,1,98,1,1,1,1
0,51,2,2,Nabeul,1,2,1,5,1,4,1,10,1,1
0,30,2,2,Kairouan,2,1,5,2,1,2,1,1,1,2
0,46,4,3,Beja,1,1,1,2,2,NA,1,1,1,1
0,39,5,2,Siliana,1,1,1,1,2,NA,2,NA,2,NA
0,45,7,7,Monastir,1,1,1,1,2,NA,1,1,1,1
0,35,2,2,Kasserine,1,1,1,1,1,99,1,9,1,1
0,56,4,6,Kasserine,1,1,1,1,1,6,1,7,1,1
0,41,2,2,Siliana,98,2,2,2,1,98,1,1,2,NA
0,37,3,3,Ariana,2,1,3,1,2,NA,2,NA,2,NA
